cf,units,quantity,transformation,state,substance,process,condition,fraction,coordinate,source,spectral_band,energy,medium_realm,temperature,model,statistics,vector component,angle,surface,role,scientific_component,reported_on,at_surface_or_condition,due_to,to_,in_substance_or_realm,expressed_as_substance_or_property,assuming_condition,defined_by,for_,into_,below_,over_,above_,from_,wrt_1,product_and_,ratio_of,ratio_to_,wrt_2,by_,excluding_,reflected_by,out_of,accumulated_in_,difference_between_,difference_and_,superfluous
age_of_sea_ice,year,age,,,,,,,,,,,sea_ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_of_stratospheric_air,s,age_of,,,air,,,,,,,,stratospheric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_of_surface_snow,day,age,,,snow,,,,,,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_density,kg m-3,density,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_potential_temperature,K,temperature,,,air,,,,,,,,,potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure,Pa,pressure,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_anomaly,Pa,pressure,,,air,,,,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_at_cloud_base,Pa,pressure,,,air,,,,,,,,,,,,,,,,,,cloud_base,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_at_cloud_top,Pa,pressure,,,air,,,,,,,,,,,,,,,,,,cloud_top,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_at_convective_cloud_base,Pa,pressure,,convective,air,,,,,,,,,,,,,,,,,,cloud_base,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_at_convective_cloud_top,Pa,pressure,,convective,air,,,,,,,,,,,,,,,,,,cloud_top,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_at_freezing_level,Pa,pressure,,,air,,,,,,,,,,,,,,,,,,freezing_level,,,,,,,,,,,,,,,,,,,,,,,,,
air_pressure_at_sea_level,Pa,pressure,,,air,,,,,,,,,,,,,,,,,,sea_level,,,,,,,,,,,,,,,,,,,,,,,,,
air_temperature,K,temperature,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_temperature_anomaly,K,temperature,,,air,,,,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_temperature_at_cloud_top,K,temperature,,,air,,,,,,,,,,,,,,,,,,cloud_top,,,,,,,,,,,,,,,,,,,,,,,,,
air_temperature_lapse_rate,K m-1,temperature,lapse_rate,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_temperature_threshold,K,temperature,,,air,,,,,,,,,,,threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altimeter_range,m,range,,,,,,,,altimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altimeter_range_correction_due_to_dry_troposphere,m,range,,,,,,,,altimeter,,,,,,,,,,,,,,dry_troposphere,,,,,,,,,,,,,,,,,,,,,,,,
altimeter_range_correction_due_to_ionosphere,m,range,,,,,,,,altimeter,,,,,,,,,,,,,,ionosphere,,,,,,,,,,,,,,,,,,,,,,,,
altimeter_range_correction_due_to_wet_troposphere,m,range,,,,,,,,altimeter,,,,,,,,,,,,,,wet_troposphere,,,,,,,,,,,,,,,,,,,,,,,,
altitude,m,altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude_at_top_of_dry_convection,m,altitude,,,,,,,,,,,,,,,,,,,,,top_of_dry_convection,,,,,,,,,,,,,,,,,,,,,,,,,
angle_of_emergence,degree,angle_of,,,,,,,,,,,,,,,,emergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angle_of_incidence,degree,angle_of,,,,,,,,,,,,,,,,incidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angle_of_rotation_from_east_to_x,degree,angle_of,,,,,,,,,,,,,,,east_to_x,rotation_from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angle_of_rotation_from_east_to_y,degree,angle_of,,,,,,,,,,,,,,,east_to_y,rotation_from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angstrom_exponent_of_ambient_aerosol_in_air,1,angstrom_exponent_of,,ambient,aerosol,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
area_fraction,1,fraction,,,,,,area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
area_fraction_below_surface,1,fraction,,,,,,area,,,,,,,,,,,,,,,,,,,,,,,,surface,,,,,,,,,,,,,,,,
area_type,1,area_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere_absolute_vorticity,s-1,absolute_vorticity,,,,,,,,,,,atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,1,optical_thickness,,,,absorption,,,,,,,atmosphere,,,,,,,,,,,ambient_aerosol,,,,,,,,,,,,,,,,,,,,,,,,
